Title,Description,Date,Link
Microsoft offers EU remedies to get the deal with Activision approved,A European Commission filing on Friday revealed that Microsoft Corp. (MSFT.O) has proposed remedies in an effort to win EU antitrust approval for its $69.,3 mins ago,https://www.bollyinside.com/news/technology/microsoft-offers-eu-remedies-to-get-the-deal-with-activision-approved/
Microsoft is making it easier to set default apps in Windows 11,"This week, Microsoft announced two features it said would ensure Windows 11 users are in control of changes to their app defaults.",2 hours ago,https://ca.finance.yahoo.com/news/microsoft-is-making-it-easier-to-set-default-apps-in-windows-11-202940444.html
Microsoft Co. (NASDAQ:MSFT) is Bartlett & Co. LLC's 2nd Largest Position,"Bartlett & Co. LLC decreased its holdings in Microsoft Co. (NASDAQ:MSFT – Get Rating) by 0.6% in the fourth quarter, according to the company in its most...",7 hours ago,https://www.defenseworld.net/2023/03/18/microsoft-co-nasdaqmsft-is-bartlett-co-llcs-2nd-largest-position.html
Abner Herrman & Brock LLC Sells 81 Shares of Microsoft Co. (NASDAQ:MSFT),"Abner Herrman & Brock LLC lowered its stake in Microsoft Co. (NASDAQ:MSFT – Get Rating) by 0.1% during the 4th quarter, according to the company in its most...",7 hours ago,https://www.defenseworld.net/2023/03/18/abner-herrman-brock-llc-sells-81-shares-of-microsoft-co-nasdaqmsft.html
Fulton Bank N.A. Lowers Position in Microsoft Co. (NASDAQ:MSFT),"Fulton Bank N.A. lessened its stake in Microsoft Co. (NASDAQ:MSFT – Get Rating) by 0.2% during the 4th quarter, according to the company in its most recent...",7 hours ago,https://www.defenseworld.net/2023/03/18/fulton-bank-n-a-lowers-position-in-microsoft-co-nasdaqmsft.html
Microsoft Co. (NASDAQ:MSFT) Shares Sold by Private Asset Management Inc.,Read Microsoft Co. (NASDAQ:MSFT) Shares Sold by Private Asset Management Inc. at Defense World.,7 hours ago,https://www.defenseworld.net/2023/03/18/microsoft-co-nasdaqmsft-shares-sold-by-private-asset-management-inc.html
Trust Co. of Toledo NA OH Has $28.70 Million Stake in Microsoft Co. (NASDAQ:MSFT),Read Trust Co. of Toledo NA OH Has $28.70 Million Stake in Microsoft Co. (NASDAQ:MSFT) at Defense World.,7 hours ago,https://www.defenseworld.net/2023/03/18/trust-co-of-toledo-na-oh-has-28-70-million-stake-in-microsoft-co-nasdaqmsft.html
Rempart Asset Management Inc. Purchases 1080 Shares of Microsoft Co. (NASDAQ:MSFT),"Rempart Asset Management Inc. grew its position in Microsoft Co. (NASDAQ:MSFT – Get Rating) by 1.2% during the 4th quarter, according to the company in its...",7 hours ago,https://www.defenseworld.net/2023/03/18/rempart-asset-management-inc-purchases-1080-shares-of-microsoft-co-nasdaqmsft.html
Sycomore Asset Management Has $20.67 Million Holdings in Microsoft Co. (NASDAQ:MSFT),"Sycomore Asset Management lowered its position in shares of Microsoft Co. (NASDAQ:MSFT – Get Rating) by 10.6% in the fourth quarter, according to the...",7 hours ago,https://www.defenseworld.net/2023/03/18/sycomore-asset-management-has-20-67-million-holdings-in-microsoft-co-nasdaqmsft.html
Microsoft Co. (NASDAQ:MSFT) Holdings Trimmed by Rowland & Co. Investment Counsel ADV,"Rowland & Co. Investment Counsel ADV trimmed its position in shares of Microsoft Co. (NASDAQ:MSFT – Get Rating) by 0.4% during the 4th quarter, according to...",7 hours ago,https://www.defenseworld.net/2023/03/18/microsoft-co-nasdaqmsft-holdings-trimmed-by-rowland-co-investment-counsel-adv.html
